,epoch,train_loss,val_loss
0,1.0,0.08459300298888522,0.0038351539564742284
1,2.0,0.0019910445676382203,0.0007016999826935881
2,3.0,0.0005694827409699156,0.0003901498550972478
3,4.0,0.0003365137214456149,0.0002619320005495948
4,5.0,0.0002400234818918327,0.00021826851165811107
5,6.0,0.0001981269031139053,0.00017328467087777838
6,7.0,0.00016517769466665658,0.0001456057073400271
7,8.0,0.00013372717644360155,0.00011491391593484547
8,9.0,0.0001067113970111309,9.534999507278289e-05
9,10.0,9.052363221646948e-05,9.032528343430551e-05
10,11.0,8.41512726522336e-05,8.202824756153859e-05
11,12.0,7.728638451712335e-05,7.650161992800845e-05
12,13.0,7.434947438308779e-05,8.194061817696572e-05
13,14.0,7.116302713036098e-05,7.595908404751257e-05
14,15.0,6.921399881873447e-05,6.772990425154354e-05
15,16.0,6.792878766167345e-05,6.410635839777321e-05
16,17.0,6.489573867584702e-05,6.305057666560805e-05
17,18.0,6.259552222619545e-05,7.651160174811428e-05
18,19.0,6.085163200947386e-05,5.8418111273733136e-05
19,20.0,5.944846496991363e-05,6.44027104334038e-05
20,21.0,5.711509498421962e-05,6.618533565911506e-05
21,22.0,5.416221008020399e-05,5.072120392552196e-05
22,23.0,5.380582408974527e-05,5.017104690936817e-05
23,24.0,5.057596816090824e-05,4.5750346577154813e-05
24,25.0,4.709452997093859e-05,4.3353279430779035e-05
25,26.0,4.6513466155956555e-05,4.955122253291351e-05
26,27.0,4.4823540637064537e-05,5.992256589128043e-05
27,28.0,4.2689865585262196e-05,4.7981511439006265e-05
28,29.0,4.219081898989073e-05,4.489641915742223e-05
29,30.0,4.0420048294565005e-05,3.582302787518446e-05
30,31.0,3.8833132206351504e-05,4.0040375262668185e-05
31,32.0,3.782676759302976e-05,3.883291395719756e-05
32,33.0,3.777238942123437e-05,3.458584456397644e-05
33,34.0,3.668063805771858e-05,3.623182393229482e-05
34,35.0,3.6566121909036084e-05,3.3162887683085334e-05
35,36.0,3.494211223037953e-05,3.493279675074684e-05
36,37.0,3.493815542949349e-05,3.273572018026078e-05
37,38.0,3.412027126154432e-05,3.0159620159379715e-05
38,39.0,3.366295291181983e-05,3.191844127947909e-05
39,40.0,3.2612395644398725e-05,3.155251048486786e-05
40,41.0,3.232473425499634e-05,3.02916733000364e-05
41,42.0,3.133336129759127e-05,2.9586209215763533e-05
42,43.0,3.1280177968937085e-05,2.8558337560918352e-05
43,44.0,3.132604738606357e-05,3.1946703661974014e-05
44,45.0,3.1172344557187915e-05,2.7157962540513837e-05
45,46.0,2.980876720155109e-05,2.9296542594569144e-05
46,47.0,2.9585647369068148e-05,2.8564642591597723e-05
47,48.0,2.9158443301175683e-05,2.650272588818387e-05
48,49.0,2.8670683617901922e-05,2.8693732416617092e-05
49,50.0,2.812944427179591e-05,3.2119671794300136e-05
50,51.0,2.8765503191474863e-05,2.7497268158847213e-05
51,52.0,2.727425144736404e-05,2.931967059835601e-05
52,53.0,2.708917341246538e-05,2.8137292759889863e-05
53,54.0,2.69019940977616e-05,2.4460067487036046e-05
54,55.0,2.6576267265753766e-05,2.5634832970602225e-05
55,56.0,2.6555385004126276e-05,2.568245727161411e-05
56,57.0,2.6218691791544682e-05,3.0241612677689938e-05
57,58.0,2.57446215564856e-05,2.3898851015308703e-05
58,59.0,2.534683772378764e-05,2.762377364640336e-05
59,60.0,2.4650599892135396e-05,2.3073240828869695e-05
60,61.0,2.4837079597831476e-05,2.295802551915668e-05
61,62.0,2.402079581836801e-05,2.9988476837223225e-05
62,63.0,2.4273215523442978e-05,2.338822467374319e-05
63,64.0,2.4061821535510883e-05,2.6915426943477624e-05
64,65.0,2.4154035352451313e-05,2.5245221877412405e-05
65,66.0,2.3318159046649687e-05,2.381528153240321e-05
66,67.0,2.3104544671007638e-05,2.2867830375616903e-05
67,68.0,2.258044740371518e-05,2.1543701859627617e-05
68,69.0,2.2816877103853285e-05,2.1530870534744197e-05
69,70.0,2.2012948312821162e-05,2.1614869117249987e-05
70,71.0,2.1744369848276717e-05,2.116097541809061e-05
71,72.0,2.1670328540030712e-05,2.188248380744798e-05
72,73.0,2.1469999787750345e-05,2.1808883080997143e-05
73,74.0,2.1206815389916065e-05,1.978861641460257e-05
74,75.0,2.0749695576072967e-05,2.1533441651461708e-05
75,76.0,2.0772292641171963e-05,1.9951132939736868e-05
76,77.0,2.0574948824727663e-05,2.0911663639046972e-05
77,78.0,2.0586763388277368e-05,2.131477703270238e-05
78,79.0,1.9829663759576314e-05,2.0825795904370765e-05
79,80.0,1.9532231766630422e-05,1.860672750395183e-05
80,81.0,1.9313698942599364e-05,2.1309602958684662e-05
81,82.0,1.939479324739833e-05,2.0334013424871954e-05
82,83.0,1.8633069901363844e-05,1.8338104539659318e-05
83,84.0,1.8558879124843826e-05,2.3282140550277703e-05
84,85.0,1.853229215205494e-05,2.7409474635285073e-05
85,86.0,1.8051584606008937e-05,1.8006219414184504e-05
86,87.0,1.817582689195274e-05,1.843316816699702e-05
87,88.0,1.7875952020632223e-05,1.7742302531008715e-05
88,89.0,1.7613688607694926e-05,1.6783106407687723e-05
89,90.0,1.7128582864481234e-05,1.750897829631206e-05
90,91.0,1.7035051226079312e-05,1.7805892110283656e-05
91,92.0,1.6821441123129226e-05,1.848743401172793e-05
92,93.0,1.6753666826206967e-05,1.6469208648314552e-05
93,94.0,1.6429105535133256e-05,1.9706546167567882e-05
94,95.0,1.6266037995562886e-05,1.8961553161551077e-05
95,96.0,1.621689050822346e-05,2.0034382726986552e-05
96,97.0,1.5515068519484865e-05,1.70727070822481e-05
97,98.0,1.5119328014381299e-05,1.7894604678241938e-05
98,99.0,1.5901321944051166e-05,1.5166640936182707e-05
99,100.0,1.5111663328329462e-05,1.5127531217083081e-05
