,epoch,train_loss,val_loss
49,50.0,2.9641523315701567e-05,2.601041227204736e-05
50,51.0,2.8458395836939237e-05,2.7520425332609608e-05
51,52.0,2.758134368201052e-05,2.4814505608942866e-05
52,53.0,2.6557253281146544e-05,2.6606477265225047e-05
53,54.0,2.6205911386966588e-05,2.4844795420490712e-05
54,55.0,2.5406854847423815e-05,2.466175428708084e-05
55,56.0,2.4927939845473874e-05,2.165588112719971e-05
56,57.0,2.4761212548012254e-05,2.131019389873307e-05
57,58.0,2.3834741579908723e-05,2.1041441008988345e-05
58,59.0,2.347320342071427e-05,2.1389265839388827e-05
59,60.0,2.2926658374329674e-05,2.442818114848871e-05
60,61.0,2.3067922281668813e-05,2.050524260332829e-05
61,62.0,2.277818326070436e-05,2.112737287130916e-05
62,63.0,2.2347991399155686e-05,2.1729998893120367e-05
63,64.0,2.1982591204188633e-05,2.2667275499605403e-05
64,65.0,2.1712924160096494e-05,2.619406233696447e-05
65,66.0,2.2053045967025793e-05,2.0103243142247347e-05
66,67.0,2.1636300267080972e-05,2.0711104967962127e-05
67,68.0,2.097509027481439e-05,1.8286996700308835e-05
68,69.0,2.0635243553671e-05,1.9334451619876992e-05
69,70.0,2.1061228688779695e-05,2.2142559869693784e-05
70,71.0,2.0118545895228624e-05,1.7533072646487695e-05
71,72.0,1.9854878841535742e-05,1.9804997695742217e-05
72,73.0,1.9417782450619573e-05,1.8807625524046173e-05
73,74.0,1.955007704041991e-05,1.635705332525752e-05
74,75.0,1.938475801587717e-05,1.6817816962925876e-05
75,76.0,1.8536932149159425e-05,1.7967910827627004e-05
76,77.0,1.8592183672447607e-05,1.767066516384313e-05
77,78.0,1.7839339758167096e-05,1.8215940888859965e-05
78,79.0,1.766000127369222e-05,1.757940219911027e-05
79,80.0,1.8067677142205035e-05,1.9220654443911785e-05
80,81.0,1.779918112501228e-05,1.5171420884805477e-05
81,82.0,1.6874358327005774e-05,1.3851973000617528e-05
82,83.0,1.680476237663375e-05,1.4831270548463428e-05
83,84.0,1.6557537389319544e-05,1.2735799778469796e-05
84,85.0,1.6492089981430517e-05,1.5576589066768066e-05
85,86.0,1.5601448813934326e-05,1.2202518194664497e-05
86,87.0,1.498811116751769e-05,1.1587468576511706e-05
87,88.0,1.4865300369160926e-05,1.1291944181059742e-05
88,89.0,1.4574496350612875e-05,1.5821422386414436e-05
89,90.0,1.396340831954944e-05,1.0377056407213042e-05
90,91.0,1.3972551716031133e-05,9.595553588455501e-06
91,92.0,1.3480487687526252e-05,9.435612814327627e-06
92,93.0,1.2393555169842054e-05,1.075207144987706e-05
93,94.0,1.2516296679062986e-05,1.0444969505194669e-05
94,95.0,1.2104526306827141e-05,9.389134489042176e-06
95,96.0,1.1557241411587397e-05,8.544820510988675e-06
96,97.0,1.1654712843646628e-05,7.830503337076648e-06
97,98.0,1.1051236726539744e-05,1.3592552336790091e-05
98,99.0,1.0935233892088598e-05,9.782478198096876e-06
99,100.0,1.0592637484935062e-05,8.164745176228198e-06
