,epoch,train_loss,val_loss
0,1.0,0.013541724839605251,0.0003940444099424037
1,2.0,0.0002244679653375196,0.00020164394194641106
2,3.0,0.0001260580554050724,0.00010350414494149955
3,4.0,0.00010051058668677133,7.404263518618927e-05
4,5.0,8.37013127238014e-05,0.00012475071739759055
5,6.0,7.222459933349985e-05,5.285395689412251e-05
6,7.0,6.268932879545848e-05,5.120584395860032e-05
7,8.0,5.1586250416827774e-05,4.220711725958694e-05
8,9.0,4.4752199862626206e-05,3.485666265352823e-05
9,10.0,4.0728722155325414e-05,2.9686986772710604e-05
10,11.0,3.613472290771765e-05,2.3920425509457786e-05
11,12.0,3.388082608942374e-05,3.3472042189318466e-05
12,13.0,2.8676903085500527e-05,2.5047552363794406e-05
13,14.0,2.373447356177986e-05,1.561417230374882e-05
14,15.0,2.2400610373581504e-05,1.4324452540270023e-05
15,16.0,2.0037654600235655e-05,1.7061137401377973e-05
16,17.0,1.892970984255597e-05,1.3757596273732811e-05
17,18.0,1.8447801728364393e-05,1.8492719758126003e-05
18,19.0,1.687261307163161e-05,1.5017382524094752e-05
19,20.0,1.6824424753369982e-05,1.0819438024105066e-05
20,21.0,1.4947692949666505e-05,1.0858753756128614e-05
21,22.0,1.4214069964380016e-05,1.5499324379075787e-05
22,23.0,1.4341757589001839e-05,1.285394411658502e-05
23,24.0,1.3602339339890968e-05,8.85058448284188e-06
24,25.0,1.2464732591384772e-05,2.9930529629897146e-05
25,26.0,1.2404470537556259e-05,7.587813325124427e-06
26,27.0,1.140315010713285e-05,2.211553744690717e-05
27,28.0,1.1517455534515442e-05,7.507326826994489e-06
28,29.0,1.1237780986809534e-05,7.849226587781333e-06
29,30.0,9.678891296586537e-06,1.391542358917822e-05
30,31.0,1.0393852466705766e-05,6.356472149770783e-06
31,32.0,9.772791344175857e-06,5.318562319321169e-06
32,33.0,9.50450508948227e-06,5.8899800087767375e-06
33,34.0,8.518057038534957e-06,5.6866105471233375e-06
34,35.0,8.385643886314279e-06,1.0115238990082877e-05
35,36.0,7.157526742499846e-06,1.3203152539187223e-05
36,37.0,7.152096868819531e-06,6.74797047429762e-06
37,38.0,6.635918342175658e-06,1.2009620378319676e-05
38,39.0,6.370656732035407e-06,6.732136255381639e-06
39,40.0,6.643315556109641e-06,4.619590291517831e-06
40,41.0,5.766230917294187e-06,4.8520506678371205e-06
41,42.0,5.95422892990527e-06,1.074377416363848e-05
42,43.0,5.9014985862489615e-06,3.589277037517204e-06
43,44.0,5.916117753348067e-06,1.0068700617501868e-05
44,45.0,5.165856873878827e-06,3.721931656754556e-06
45,46.0,4.93424201099731e-06,4.034439352911668e-06
46,47.0,5.009307627803124e-06,7.029157797124962e-06
47,48.0,4.74513190107384e-06,3.701110256677867e-06
48,49.0,5.046342490192905e-06,2.1894420732257963e-06
49,50.0,4.6395394058355395e-06,3.2895374633963954e-06
50,51.0,4.778755312985032e-06,2.4828677777508463e-06
51,52.0,4.97128251490675e-06,3.7531968239543193e-06
52,53.0,4.317619801038249e-06,2.723276755493795e-06
53,54.0,4.468987628976813e-06,4.189108006196383e-06
54,55.0,4.116059293596264e-06,7.445987767369624e-06
55,56.0,4.4930333341075546e-06,2.713352159520898e-06
56,57.0,3.843036411108984e-06,4.484532676912456e-06
57,58.0,4.070738824769419e-06,2.127314402790825e-06
58,59.0,4.142333126511133e-06,8.528669091316806e-06
59,60.0,3.8992279032257215e-06,2.758607830402541e-06
60,61.0,3.808610658767586e-06,2.9838615994479877e-06
61,62.0,3.872207505362102e-06,1.791334507868059e-05
62,63.0,3.553214828621217e-06,6.194255036611034e-06
63,64.0,3.7216460298990692e-06,5.913017176102756e-06
64,65.0,3.6856868424056666e-06,4.126480930767236e-06
65,66.0,3.971174589954367e-06,4.699763792618361e-06
66,67.0,3.2490865002713734e-06,3.899528577364486e-06
67,68.0,3.6280724386531884e-06,1.5949275871695e-06
68,69.0,3.7331622326034855e-06,6.390361375531949e-06
69,70.0,3.1822066130504645e-06,2.7688276118128196e-06
70,71.0,3.385169868576806e-06,2.0596249874702725e-06
71,72.0,3.4183542148014112e-06,3.7149276189933865e-06
72,73.0,3.334722900552589e-06,4.027947387062265e-06
73,74.0,3.3020626375955078e-06,3.8907065795055644e-06
74,75.0,3.1923828070860396e-06,1.2680058731977585e-05
75,76.0,3.234431995541298e-06,3.5675420546273385e-06
76,77.0,3.392633973170467e-06,2.5866938468958086e-06
77,78.0,2.9201702088227366e-06,2.5402467246496877e-06
78,79.0,3.0095654764139557e-06,1.8642605326674815e-06
79,80.0,2.907136630305359e-06,1.8615448071494703e-06
80,81.0,3.2717575729872736e-06,2.728976223206618e-06
81,82.0,2.93846571716716e-06,1.964341668813432e-06
82,83.0,2.9856823913487762e-06,4.398155743447605e-06
83,84.0,2.903414516771304e-06,1.5712830960767532e-06
84,85.0,2.9898698790155795e-06,5.081460838203816e-06
85,86.0,2.8677310078180826e-06,3.158440186540214e-06
86,87.0,3.1027386736964813e-06,3.119985008156142e-06
87,88.0,2.859820811546935e-06,4.5291232991365784e-06
88,89.0,2.9566656058836274e-06,1.2359042285524662e-06
89,90.0,2.803286551028572e-06,1.1256188686151633e-06
90,91.0,2.856026253513407e-06,2.32404033329531e-06
91,92.0,2.6486441512911054e-06,1.0825903479206059e-06
92,93.0,2.6167781309362668e-06,3.174764493973594e-06
93,94.0,2.7284881815026196e-06,2.8474830103032812e-06
94,95.0,2.919558501857563e-06,5.637073496674518e-06
95,96.0,2.6006397503599197e-06,1.077309803514214e-06
96,97.0,2.7213342307883894e-06,1.1563020885159445e-06
97,98.0,2.3693465145899206e-06,2.678618838036722e-06
98,99.0,3.1337793172473796e-06,1.5665265878818519e-06
99,100.0,2.3247796503792864e-06,1.6086809851448722e-06
